datetime,open,high,low,close,volume
2024-09-19,1.11185,1.11787,1.11149,1.11656,0
2024-09-20,1.11657,1.11818,1.1136,1.11626,0
2024-09-22,1.1158,1.11648,1.11558,1.11615,0
2024-09-23,1.11615,1.11672,1.10831,1.11126,0
2024-09-24,1.11125,1.11987,1.11042,1.1198,0
2024-09-25,1.1198,1.1214,1.11215,1.11405,0
2024-09-26,1.11404,1.11893,1.11257,1.1169,0
2024-09-27,1.11689,1.1203,1.11248,1.11619,0
2024-09-29,1.11582,1.11739,1.11526,1.11581,0
2024-09-30,1.11582,1.12089,1.11136,1.11377,0
2024-10-01,1.11377,1.11439,1.10458,1.10706,0
2024-10-02,1.10706,1.10828,1.1032,1.10357,0
2024-10-03,1.10356,1.10468,1.10082,1.1027,0
2024-10-04,1.1027,1.10367,1.09512,1.09739,0
2024-10-06,1.0962,1.09775,1.0962,1.09719,0
2024-10-07,1.0972,1.09868,1.09542,1.09832,0
2024-10-08,1.09832,1.09971,1.09608,1.09678,0
2024-10-09,1.09678,1.0976,1.09362,1.09435,0
2024-10-10,1.09435,1.09548,1.09,1.09395,0
2024-10-11,1.09395,1.09537,1.0926,1.09353,0
2024-10-13,1.0931,1.09335,1.09153,1.09256,0
2024-10-14,1.09255,1.09366,1.08881,1.08964,0
2024-10-15,1.08964,1.09167,1.08819,1.08909,0
2024-10-16,1.08908,1.09014,1.08512,1.0853,0
2024-10-17,1.0853,1.08737,1.0811,1.08385,0
2024-10-18,1.08386,1.08694,1.08341,1.08655,0
2024-10-20,1.08605,1.08717,1.08605,1.08662,0
2024-10-21,1.08662,1.08662,1.08111,1.0819,0
2024-10-22,1.0819,1.0838,1.07922,1.08021,0
2024-10-23,1.08022,1.08066,1.07612,1.07868,0
2024-10-24,1.07868,1.08298,1.07706,1.08217,0
2024-10-25,1.08216,1.08392,1.0793,1.07945,0
2024-10-27,1.07938,1.08015,1.0782,1.07876,0
2024-10-28,1.07876,1.08276,1.07819,1.08086,0
2024-10-29,1.08087,1.08263,1.07688,1.08165,0
2024-10-30,1.08166,1.08713,1.08079,1.08478,0
2024-10-31,1.08477,1.08885,1.08461,1.0877,0
2024-11-01,1.08771,1.09057,1.08317,1.08327,0
2024-11-03,1.08778,1.09049,1.08699,1.08974,0
2024-11-04,1.08973,1.09147,1.08724,1.08752,0
2024-11-05,1.08752,1.09369,1.0719,1.07775,0
2024-11-06,1.07774,1.07944,1.06824,1.07377,0
2024-11-07,1.07378,1.08247,1.07374,1.07828,0
2024-11-08,1.07828,1.07974,1.06868,1.07182,0
2024-11-10,1.07093,1.07277,1.07075,1.07138,0
2024-11-11,1.07141,1.07221,1.06286,1.0644,0
2024-11-12,1.0644,1.06457,1.05951,1.06177,0
2024-11-13,1.06178,1.0654,1.05451,1.05484,0
2024-11-14,1.05485,1.05825,1.0496,1.05425,0
2024-11-15,1.05425,1.0593,1.05163,1.05394,0
2024-11-17,1.0528,1.05505,1.0528,1.05407,0
2024-11-18,1.05406,1.06071,1.05325,1.0587,0
2024-11-19,1.0587,1.06097,1.05233,1.05929,0
2024-11-20,1.05929,1.05954,1.05068,1.05512,0
2024-11-21,1.05513,1.05544,1.04622,1.04747,0
2024-11-22,1.04745,1.04981,1.03325,1.04193,0
2024-11-24,1.04806,1.05013,1.04618,1.04791,0
2024-11-25,1.04792,1.05303,1.0425,1.04797,0
2024-11-26,1.04795,1.05447,1.04571,1.04786,0
2024-11-27,1.04785,1.05876,1.04744,1.05546,0
2024-11-28,1.05547,1.05767,1.05275,1.05699,0
2024-11-29,1.05698,1.05971,1.05414,1.05748,0
2024-12-01,1.05711,1.05733,1.05189,1.05233,0
2024-12-02,1.05233,1.05382,1.04607,1.04853,0
2024-12-03,1.04854,1.0535,1.04807,1.05107,0
2024-12-04,1.05107,1.05439,1.04723,1.05182,0
2024-12-05,1.05181,1.05896,1.05171,1.05752,0
2024-12-06,1.05753,1.06298,1.05423,1.05673,0
2024-12-08,1.05544,1.05692,1.0532,1.05346,0
2024-12-09,1.05347,1.05944,1.05337,1.05575,0
2024-12-10,1.05574,1.0568,1.04984,1.05245,0
2024-12-11,1.05245,1.05373,1.04802,1.05089,0
2024-12-12,1.0509,1.05308,1.04562,1.04634,0
2024-12-13,1.04636,1.05241,1.04531,1.05017,0
2024-12-15,1.04854,1.05228,1.04847,1.05159,0
2024-12-16,1.05159,1.05343,1.04745,1.05081,0
2024-12-17,1.05081,1.05159,1.0479,1.0503,0
2024-12-18,1.05029,1.05127,1.03439,1.03789,0
2024-12-19,1.03789,1.04222,1.03545,1.03587,0
2024-12-20,1.03587,1.04474,1.03429,1.04254,0
2024-12-22,1.04308,1.04452,1.04268,1.04429,0
2024-12-23,1.04429,1.04443,1.03842,1.03963,0
2024-12-24,1.03967,1.04106,1.03835,1.04058,0
2024-12-25,1.04037,1.04083,1.0393,1.03977,0
2024-12-26,1.03976,1.04301,1.03905,1.0409,0
2024-12-27,1.0409,1.0444,1.04049,1.04225,0
2024-12-29,1.04247,1.04346,1.04208,1.04253,0
2024-12-30,1.04252,1.04583,1.03717,1.04041,0
2024-12-31,1.04042,1.04243,1.0344,1.03531,0
